[06:16:17] warming target/contracts cache (un-timed)...
[06:17:26] cache warm.
[06:23:56] closure_kernel_advance_close_ledger_rank_witness -> PASS (389s)
=====
harness                                                          wall_s  status
contract_check_apply_backing_provider_earnings_withdraw          4       PASS
contract_check_apply_total_delta                                 4       PASS
contract_check_available_backing_num_for_source_credit_state     4       PASS
contract_check_credit_account_from_insurance_delta               4       PASS
contract_check_credit_backing_provider_earnings_delta            4       PASS
contract_check_flow_account_capital_to_external_out              5       PASS
contract_check_flow_account_capital_to_insurance                 5       PASS
contract_check_flow_account_capital_to_realized_loss             5       PASS
contract_check_flow_capital_and_resolved_payout_to_external_out  8       PASS
contract_check_flow_close_cure_to_account_capital                7       PASS
contract_check_flow_external_in_to_account_capital               5       PASS
contract_check_flow_external_in_to_insurance_capital             5       PASS
contract_check_flow_insurance_capital_to_account_capital         5       PASS
contract_check_flow_insurance_capital_to_external_out            5       PASS
contract_check_flow_insurance_to_close_insurance_spent           5       PASS
contract_check_flow_proof_debit_modifies                         5       PASS
contract_check_flow_support_to_account_capital                   7       PASS
contract_check_health_requirements_from_base_and_target_lag      4       PASS
contract_check_kernel_advance_leg_b_snap                         4       PASS
contract_check_kernel_attach_leg                                 17      PASS
contract_check_kernel_clear_leg                                  17      PASS
contract_check_kernel_initial_margin_gate                        1       PASS
contract_check_kernel_locked_margin_gate                         4       PASS
contract_check_kernel_resize_leg_same_side                       29      PASS
contract_check_prepare_counterparty_backing_add_delta            11      PASS
contract_check_prepare_counterparty_backing_withdraw_delta       6       PASS
contract_check_prepare_counterparty_lien_consume_delta           7       PASS
contract_check_prepare_counterparty_lien_create_delta            7       PASS
contract_check_prepare_counterparty_lien_impair_delta            6       PASS
contract_check_prepare_counterparty_lien_release_delta           7       PASS
contract_check_prepare_counterparty_lien_terminal_release_delta  5       PASS
contract_check_prepare_insurance_lien_create_delta               8       PASS
contract_check_prepare_insurance_lien_impair_delta               16      PASS
contract_check_prepare_insurance_lien_release_delta              13      PASS
contract_check_prepare_insurance_lien_terminal_release_delta     33      PASS
contract_check_prepare_source_positive_claim_bound_delta         3       PASS
contract_check_set_domain_insurance_budget_delta                 10      PASS
contract_check_set_domain_insurance_spent_delta                  11      PASS
contract_check_trade_signed_size_deltas                          3       PASS
contract_check_withdraw_domain_insurance_delta                   6       PASS
closure_kernel_advance_close_ledger_rank_witness                 389     PASS
